Row,Type,Name,Due Date,LOCATION,User,Condition
1,Standard Tool,Digital scale (8000g),-,MRO Shop,NA,Active
2,Standard Tool,Large vernier caliper,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
3,Standard Tool ,Small vernier caliper,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
4,Standard Tool,Small micrometer,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
5,Standard Tool,Depth gauge micrometer,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
6,Standard Tool,Surface roughness meter,-,Inspection Shop,NA,Active
7,Standard Tool,Coating Thickness gauge,-,Inspection Shop,NA,Active
8,Standard Tool,Digital height caliper 0-600 mm        ,28-May-23,Test Shop,NA,Active
9,Standard Tool,Digital height caliper 0-150 mm        ,29-Oct-23,Inspection Shop,Mazloomzadeh,Active
10,Standard Tool,Dial Test indicator    ,26-Apr-23,Test Shop,Barazandeh,Sent to Cal./Ser.
11,Standard Tool,Digital caliper (100 mm),29-Jul-23,MRO Shop,Goodarzi,Active
12,Standard Tool,Depth gauge digital with pin 150 mm  ,29-Jul-23,Inspection Shop,NA,Active
13,Standard Tool,Accurate Weight 2000 g,28-Jun-23,MRO Shop,NA,Active
14,Standard Tool,Vernier Caliper 1000mm,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
15,Standard Tool,Filler Gauge  0.05 - 1mm,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
16,Standard Tool,Headlight magnifier (2 ea.),-,MRO Shop,NA,Active
17,Standard Tool,Hand-held lighted magnifier (2 ea.),-,MRO Shop,NA,Active
18,Standard Tool,Magnifier (1 ea.),-,MRO Shop,NA,
19,Standard Tool,Inside micrometer,29-Oct-23,Test Shop,Barazandeh,Active
20,Standard Tool,Digimatic Indicator,26-Apr-23,Test Shop,Barazandeh,Sent to Cal./Ser.
21,Standard Tool,Tubular Inside Micrometer,29-Oct-23,Test Shop,Barazandeh,Active
22,Standard Tool,Inch/Metric Screw Pitch Gauge,29-Oct-23,Test Shop,Barazandeh,Sent to Cal./Ser.
23,Standard Tool,Digital caliper (150 mm),29-Oct-23,Test Shop,Barazandeh,Active
24,Standard Tool,Radius Gauge,29-Oct-23,Test Shop,Barazandeh,Sent to Cal./Ser.
25,"Specific Tool
(Alternate Tool)","Fixture, Heat Treat - Combustor Inner Liner",-,MRO Shop,NA,Active
26,"Specific Tool
(Alternate Tool)","Fixture, Weld/Machine-Seal Lip, Combustor, AFT",-,Test Shop,NA,Active
27,"Specific Tool
(Alternate Tool)","Fixture, Heat Treat-Combustor Outer Liner",-,Test Shop,NA,Active
28,"Specific Tool
(Alternate Tool)","Fixture, Sizing Shoes-Combustor Inner Liner",-,Test Shop,NA,Active
29,"Specific Tool
(Alternate Tool)","Fixture, Lift-Turn Combustor Liner",-,Test Shop,NA,Active
30,"Specific Tool
(Alternate Tool)",General Support Fixture,-,MRO Shop,NA,Active
31,"Specific Tool
(Alternate Tool)","Fixture, Sizing Shoe-Combustion Dome",-,Test Shop,NA,Active
32,"Specific Tool
(Alternate Tool)","Fixture, Expander - Combustor ",,MRO Shop,NA,Active
33,Standard Equipment,FPI line,,Test Shop,NA,Active
34,Standard Equipment,Current Rectifier,,MRO Shop,NA,Active
35,Standard Equipment,Magnetic Stirrer,,MRO Shop,NA,Active
36,Standard Equipment,Sandblast,,MRO Shop,NA,Active
37,Standard Equipment,Reference Plane 800×1000 mm,28-Jun-23,Test Shop,NA,Active
38,Standard Equipment,Desktop Stereo Microscope,,MRO Shop,NA,Active
39,Standard Equipment,Desktop Stereo Microscope,,MRO Shop,,Active
40,Standard Equipment,Label Print,,MRO Shop,NA,Active
41,Standard Equipment,Super Slim Digital Microscope,,MRO Shop,NA,Active
42,Standard Equipment,Camera,,MRO Shop,NA,Active
43,Standard Equipment,Magnetic Stand,,Test Shop,Barazandeh,Active
44,Standard Equipment,Magnetic Stand,,MRO Shop,Barazandeh,Active
45,Standard Equipment,Airflow Test ,,Test Shop,,Active
46,Standard Equipment,Water Check,,Test Shop,,Active
47,Standard Equipment,Reference plane 630×630 mm           ,26-Apr-23,Test Shop,NA,Quarantined for Cal.
48,Standard Equipment,Ultrasonic Cleaning Tank,-,MRO Shop,NA,
49,Standard Equipment,Laser Profilometer,-,MRO Shop,NA,Active
50,Standard Equipment,Laser Engraving,-,MRO Shop,NA,Active
51,Standard Equipment,3D Printer,,Test Shop,NA,Active
52,Standard Equipment,Steam Cleaner,,,,
53,Standard Tool,Knife Filler Gauge 0.05-1mm,19-Dec-23,Rig Test,Barazandeh/Nikdel,Active
54,Standard Tool,Knife Filler Gauge 0.05-1mm,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
55,Standard Tool,Digital caliper 0-300 mm كوليس 30سانت ديجيتال,20-Dec-23,Rig Test,Barazandeh/Nikdel,Active
56,Standard Tool,External Dial Caliper Gauge 0-50 كوليس شاخكي,21-Dec-23,Rig Test,Barazandeh/Nikdel,Active
57,Standard Tool,"Steel Gauge Block, 103 block per set Gra گيج بلوك",22-Dec-23,Rig Test,Barazandeh/Nikdel,Active
58,Standard Tool,Dial gauge 10 / 0.01 mm,9/9/2023,Rig Test,Barazandeh,Active
59,Standard Tool,Digital Caliper 0-150 mm,3/9/2024,Rig Test,Barazandeh,Active
60,Standard Tool,Digital Caliper 0-200 mm,3/9/2024,Rig Test,Barazandeh,Active
61,Standard Tool,Internal Dial Caliper 30-50 mm,3/9/2024,Rig Test,Barazandeh,Active
62,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
63,Standard Tool,Pin gauge set,2/20/2025,Rig Test,Barazandeh,Active
64,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
65,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
66,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
67,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
68,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
69,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
70,Standard Tool,Pin gauge set,2/15/2025,Rig Test,Barazandeh,Active
71,Standard Tool,Screw pitch Gauge ,1/8/2025,Rig Test,Barazandeh,Active
72,Standard Tool,Ext.Mic.with Digital Counter 25-50 mm     ,5/30/2024,Rig Test,Barazandeh,
73,Standard Tool,Ext.Mic.with Digital Counter 50-75 mm    ,5/30/2024,Rig Test,Barazandeh,
74,Standard Tool,Out Side Micrometer 75-100 mm                ,5/30/2024,Rig Test,Barazandeh,
75,Standard Tool,Out Side Micrometer 100-200 mm           ,5/30/2024,Rig Test,Barazandeh,
76,Standard Tool,Out Side Micrometer 200-300 mm            ,5/30/2024,Rig Test,Barazandeh,
77,Standard Tool,Out Side Micrometer 300-400 mm              ,5/30/2024,Rig Test,Barazandeh,
78,Standard Tool,Out Side Micrometer 400-500 mm             ,5/30/2024,Rig Test,Barazandeh,
79,Standard Tool,Bore Gauge For Small Hole 6-10 mm            ,5/30/2024,Rig Test,Barazandeh,
80,Standard Tool,Bore Gauge For Small Hole 10-18.5 mm       ,5/30/2024,Rig Test,Barazandeh,
81,Standard Tool,Bore Gauge 18-35 mm                                    ,5/30/2024,Rig Test,Barazandeh,
82,Standard Tool,Bore Gauge 35-60 mm                                   ,5/30/2024,Rig Test,Barazandeh,
83,Standard Tool,Bore Gauge 50-150 mm                                   ,5/30/2024,Rig Test,Barazandeh,
84,Standard Tool,"Digimatic Caliper 0-6""/0-150 mm                 ",5/30/2024,Rig Test,Barazandeh,
85,Standard Tool,"Digimatic Caliper 0-12""/0-300 mm               ",5/30/2024,Rig Test,Barazandeh,
86,Standard Tool,"Digimatic Caliper 0-24""/0-600 mm                ",5/30/2024,Rig Test,Barazandeh,
87,Standard Tool,Test Indicator with Long Stylus 0.01mm     ,5/30/2024,Rig Test,Barazandeh,
